Date,CountryRegion,Confirmed,Recovered,Deaths
1/22/2020,Ghana;Africa,,,0
1/22/2020,Greece;Europe,,,0
1/22/2020,Iceland;Europe,0,,0
1/22/2020,India;Asia,0,,0
1/22/2020,Indonesia;Asia,0,,0
1/22/2020,Iran;Asia,0,,0
1/22/2020,Iraq;Asia,0,,
1/22/2020,Ireland;Europe,0,,
6/6/2020,Guinea;Africa,4117,2857,23
6/6/2020,Guyana;South America,154,80,12
6/6/2020,Haiti;North America,3072,24,50
6/6/2020,Holy See;Unknown,12,12,0
6/6/2020,Indonesia;Asia,30514,9907,1801
6/6/2020,Iran;Asia,169425,132038,8209
6/6/2020,Iraq;Asia,11098,4904,318
6/6/2020,Ireland;Europe,25183,22698,1678
6/6/2020,Israel;Asia,17752,15042,295
6/6/2020,Italy;Europe,234801,165078,33846
